Date,Open,High,Low,Close,Adj Close,Volume
2021-02-17,63.799999,64.910004,63.450001,64.760002,57.190178,20279600
2021-02-18,64.300003,64.550003,63.090000,63.480000,56.059792,14833200
2021-02-19,64.160004,65.989998,64.050003,65.779999,58.090946,20456200
2021-02-22,65.400002,66.900002,65.290001,65.519997,57.861332,23120700
2021-02-23,65.589996,66.919998,64.860001,66.739998,58.938725,26712100
2021-02-24,67.169998,68.680000,67.000000,68.599998,60.581306,20752900
2021-02-25,69.040001,69.379997,66.889999,67.410004,59.530422,25206100
2021-02-26,66.779999,67.599998,65.540001,65.879997,58.179249,24182200
2021-03-01,68.489998,69.989998,67.980003,69.540001,61.411442,28054600
2021-03-02,69.190002,69.989998,68.849998,68.910004,60.855087,19200600
2021-03-03,69.489998,71.489998,69.300003,70.379997,62.153244,25157600
2021-03-04,70.180000,71.779999,67.889999,69.809998,61.649872,28518400
2021-03-05,70.839996,71.269997,68.440002,70.230003,62.020802,25406800
2021-03-08,71.070000,72.839996,70.860001,72.220001,63.778160,27351100
2021-03-09,70.910004,72.489998,70.040001,70.989998,62.691956,24194900
2021-03-10,71.290001,73.879997,71.199997,73.750000,65.129326,21331100
2021-03-11,73.480003,74.279999,72.550003,73.309998,64.740746,17499200
2021-03-12,74.419998,75.250000,74.099998,75.180000,66.392189,17210600
2021-03-15,75.510002,75.589996,73.279999,74.220001,65.544403,18918100
2021-03-16,73.519997,73.629997,72.320000,73.330002,64.758430,15834800
2021-03-17,73.930000,74.339996,72.739998,73.599998,64.996857,19337500
2021-03-18,74.430000,76.129997,73.449997,73.839996,65.208801,23857900
2021-03-19,73.199997,73.580002,71.519997,73.010002,64.475838,24079400
2021-03-22,72.290001,72.599998,71.639999,71.959999,63.548565,15040000
2021-03-23,71.300003,72.639999,70.510002,70.910004,62.621304,16238700
2021-03-24,71.690002,72.480003,70.059998,70.080002,61.888321,17089600
2021-03-25,69.830002,71.919998,69.150002,71.720001,63.336609,18357300
2021-03-26,72.570000,73.239998,72.000000,73.019997,64.484650,15716600
2021-03-29,71.550003,72.150002,70.370003,71.580002,63.212986,17822300
2021-03-30,72.000000,73.220001,72.000000,72.959999,64.431671,15615900
2021-03-31,72.709999,73.830002,72.459999,72.750000,64.246208,15224800
2021-04-01,72.220001,73.290001,72.220001,73.139999,64.590622,15251300
2021-04-05,74.070000,74.339996,72.440002,72.750000,64.246208,16128400
2021-04-06,72.360001,73.070000,72.050003,72.599998,64.113754,12908400
2021-04-07,72.919998,73.120003,71.949997,72.690002,64.193237,14081400
2021-04-08,72.150002,72.529999,71.080002,72.330002,63.875313,13677100
2021-04-09,72.809998,73.010002,72.010002,72.419998,63.954788,14586400
2021-04-12,72.620003,72.800003,72.139999,72.690002,64.193237,12002400
2021-04-13,72.300003,72.419998,71.070000,72.059998,63.636860,16150000
2021-04-14,71.739998,73.290001,71.379997,72.910004,64.387505,19476600
2021-04-15,74.449997,74.730003,71.760002,72.540001,64.060776,31333400
2021-04-16,73.320000,73.570000,71.690002,72.449997,63.981289,28478400
2021-04-19,72.709999,72.830002,71.949997,72.129997,63.698685,19964800
2021-04-20,71.550003,71.550003,69.269997,69.790001,61.632210,22013000
2021-04-21,69.129997,70.709999,68.410004,70.650002,62.391682,16334800
2021-04-22,70.430000,70.750000,69.669998,69.809998,61.649872,16037600
2021-04-23,69.839996,71.540001,69.510002,71.379997,63.036358,18876100
2021-04-26,71.730003,72.809998,71.610001,72.199997,63.760506,13098600
2021-04-27,72.500000,73.099998,72.360001,72.989998,64.458160,13357500
2021-04-28,73.370003,73.639999,72.730003,72.910004,64.387505,14420400
2021-04-29,73.760002,74.019997,72.879997,73.839996,65.208801,20628400
2021-04-30,72.690002,72.739998,71.089996,71.239998,63.350273,23669300
2021-05-03,72.019997,72.440002,71.389999,71.709999,63.768227,16026100
2021-05-04,71.239998,72.400002,70.629997,72.330002,64.319557,23071400
2021-05-05,72.610001,73.809998,71.779999,73.709999,65.546715,19427200
2021-05-06,73.639999,74.940002,73.419998,74.779999,66.498222,19621800
2021-05-07,73.430000,75.110001,73.220001,75.080002,66.764999,16937400
2021-05-10,75.360001,76.839996,75.110001,75.129997,66.809448,19628200
2021-05-11,74.500000,75.570000,73.910004,74.870003,66.578255,21534800
2021-05-12,75.940002,76.400002,73.900002,74.230003,66.009125,19791300
2021-05-13,73.879997,75.879997,73.800003,75.290001,66.951744,18622300
2021-05-14,75.680000,76.769997,75.660004,76.559998,68.081085,14122700
2021-05-17,76.330002,77.470001,76.099998,77.419998,68.845833,14676300
2021-05-18,77.379997,77.690002,76.570000,76.620003,68.134430,13729600
2021-05-19,75.620003,76.650002,74.720001,76.459999,67.992172,23283600
2021-05-20,76.169998,76.639999,75.360001,76.199997,67.760956,15244300
2021-05-21,76.500000,77.809998,76.410004,77.650002,69.050377,18544500
2021-05-24,77.830002,78.360001,77.470001,78.029999,69.388283,16750200
2021-05-25,78.199997,79.279999,77.190002,77.279999,68.721352,20015800
2021-05-26,77.209999,77.900002,76.680000,77.519997,68.934753,15243400
2021-05-27,78.519997,79.110001,77.949997,78.760002,70.037453,17467000
2021-05-28,78.660004,78.970001,77.910004,78.709999,69.992973,14392800
2021-06-01,79.489998,80.089996,79.339996,79.760002,70.926697,15450500
2021-06-02,80.099998,80.290001,79.379997,79.860001,71.015617,15285600
2021-06-03,79.709999,80.290001,79.419998,79.629997,70.811096,22255800
2021-06-04,79.690002,79.870003,78.809998,79.489998,70.686600,13807000
2021-06-07,79.620003,79.650002,79.019997,79.309998,70.526512,12670100
2021-06-08,78.300003,79.419998,77.709999,79.080002,70.322006,15399100
2021-06-09,78.669998,78.779999,77.760002,78.139999,69.486107,13778400
2021-06-10,79.040001,79.290001,76.830002,76.889999,68.374535,15277400
2021-06-11,77.000000,77.190002,76.099998,76.480003,68.009949,18043500
2021-06-14,76.610001,76.769997,74.669998,75.160004,66.836121,18304400
2021-06-15,75.050003,75.339996,73.250000,73.820000,65.644539,25191700
2021-06-16,72.750000,73.000000,70.150002,71.459999,63.545895,53319800
2021-06-17,72.580002,72.610001,68.160004,68.860001,61.233849,48523000
2021-06-18,68.480003,68.750000,67.129997,67.610001,60.122295,44582900
2021-06-21,68.440002,69.089996,67.879997,68.449997,60.869263,30266600
2021-06-22,68.900002,69.410004,67.769997,68.959999,61.322781,21564600
2021-06-23,69.360001,70.050003,69.080002,69.650002,61.936356,19672700
2021-06-24,70.330002,71.669998,69.949997,71.320000,63.421413,23900400
2021-06-25,71.449997,71.849998,69.860001,71.550003,63.625954,26727400
2021-06-28,71.320000,71.669998,70.459999,71.510002,63.590378,17660900
2021-06-29,70.139999,71.599998,69.580002,69.680000,61.963032,28696900
2021-06-30,69.680000,70.809998,69.419998,70.750000,62.914543,18502300
2021-07-01,71.080002,71.209999,70.449997,71.010002,63.145741,12584800
2021-07-02,71.010002,71.120003,70.110001,70.410004,62.612198,13222700
2021-07-06,70.110001,70.190002,67.860001,68.209999,60.655842,24672200
2021-07-07,67.709999,68.370003,67.260002,67.930000,60.406849,19342700
2021-07-08,66.400002,67.139999,65.750000,66.730003,59.339748,24763600
2021-07-09,68.110001,68.519997,67.639999,68.449997,60.869263,18872600
2021-07-12,67.669998,69.589996,67.300003,69.440002,61.749615,19600600
2021-07-13,69.080002,69.480003,68.019997,68.370003,60.798115,18962400
2021-07-14,69.989998,70.779999,67.449997,68.169998,60.620266,36287800
2021-07-15,67.540001,69.040001,67.440002,68.449997,60.869263,18897200
2021-07-16,68.709999,68.760002,66.419998,66.900002,59.490921,19289000
2021-07-19,65.459999,66.070000,64.360001,65.080002,57.872478,33318600
2021-07-20,65.180000,66.779999,64.779999,66.290001,58.948475,20577900
2021-07-21,67.010002,68.250000,66.930000,67.889999,60.371281,23393200
2021-07-22,67.750000,67.790001,66.410004,66.930000,59.517593,16524900
2021-07-23,67.500000,67.760002,66.519997,66.709999,59.321964,13443300
2021-07-26,66.459999,67.839996,66.459999,67.769997,60.264561,16434000
2021-07-27,67.080002,68.400002,66.779999,67.980003,60.451313,17127700
2021-07-28,68.320000,68.610001,67.489998,68.099998,60.558018,20275900
2021-07-29,68.709999,69.580002,68.410004,68.809998,61.189381,22261700
2021-07-30,67.919998,68.519997,67.239998,67.620003,60.580189,18078200
2021-08-02,67.949997,69.120003,67.639999,67.730003,60.678734,16616700
2021-08-03,68.250000,69.089996,66.889999,68.879997,61.708996,21041500
2021-08-04,68.120003,69.250000,67.930000,68.519997,61.386475,14416300
2021-08-05,68.830002,69.769997,68.769997,69.690002,62.434681,14361600
2021-08-06,70.779999,71.500000,70.580002,71.070000,63.671005,23915400
2021-08-09,70.940002,72.000000,70.459999,71.519997,64.074165,15619800
2021-08-10,71.620003,73.339996,71.379997,72.980003,65.382172,17920100
2021-08-11,73.300003,74.339996,72.930000,74.300003,66.564751,18676100
2021-08-12,74.330002,74.639999,73.629997,74.129997,66.412437,14181400
2021-08-13,74.199997,74.620003,72.919998,73.110001,65.498634,13362800
2021-08-16,72.410004,72.489998,70.989998,72.099998,64.593781,15532800
2021-08-17,71.339996,72.360001,70.680000,71.620003,64.163750,14623000
2021-08-18,71.199997,72.260002,70.879997,71.120003,63.715790,13970600
2021-08-19,70.540001,70.739998,69.430000,69.839996,62.569061,21047300
2021-08-20,69.709999,70.300003,69.209999,70.250000,62.936375,14028800
2021-08-23,70.760002,71.260002,70.559998,70.889999,63.509750,13079500
2021-08-24,71.139999,72.190002,71.029999,72.040001,64.540016,12669300
2021-08-25,72.800003,73.900002,72.040001,73.180000,65.561340,17766600
2021-08-26,73.470001,73.900002,72.279999,72.440002,64.898376,14135600
2021-08-27,72.580002,73.370003,72.300003,72.989998,65.391113,13669400
2021-08-30,73.000000,73.010002,71.220001,71.669998,64.208542,12687400
2021-08-31,71.750000,72.500000,71.330002,71.910004,64.423569,17285900
2021-09-01,72.360001,72.360001,71.209999,71.309998,63.886032,15114800
2021-09-02,71.360001,71.970001,70.919998,71.500000,64.056252,13533400
2021-09-03,71.620003,71.730003,70.650002,71.169998,63.760605,13683300
2021-09-07,71.360001,72.279999,70.709999,70.820000,63.447033,14663600
2021-09-08,70.870003,71.220001,69.879997,70.040001,62.748245,14861800
